name,activity,governorate,phone
A.A.F COMMUNICATION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 73 399 035
A.A.F PRODUCTION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 36 204 600
ACS (GROMBALIA),"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 214 076
ACST,Matériel de distribution et commande électrique.,Bizerte,(216) - 72 492 350
ACTIA TUNISIE,Matériel de distribution et commande électrique - Instruments de mesure et de contrôle.,Ariana,(216) - 71 941 933
ADELEC INDUSTRIE,Composants électroniques.,Ariana,(216) - 70 106 200
AEC WIRING TECHNOLOGY,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 31 303 380
AFC INDUSTRIE,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 408 542
AGET,Matériel de distribution et commande électrique.,Ariana,(216) - 71 941 515 / 71 942 858
AGILINK SERVICES TUNIS,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 398 066
AGT,,Sfax,(216) - 98 747 530 / 74 211 340
AMEN,Matériel de distribution et commande électrique.,Nabeul,(216) - 98 729 546
AMMEL II,Composants électroniques.,Sousse,(216) - 73 253 668
AMPHENOLTUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 393
AMT,Matériel de distribution et commande électrique.,Sousse,(216) - 53 322 626
AMTT,Composants électroniques.,Beja,(216) - 78 560 001 / 58 511 001
ANT PRECISION TUNISIA,Matériels électriques pour moteurs et véhicules.,Ben Arous,(216) - 95 051 290
APTIV SERVICES TUNISIA,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Beja,(216) - 31 368 500 / 31 368 658
AQUATEC,Instruments de mesure et de contrôle.,Ben Arous,(216) - 71 448 899
ASEL,Composants électroniques.,Nabeul,(216) - 72 211 686
ASEM,Composants électroniques.,Nabeul,(216) - 22 202 418
ASIND,Accumulateurs et piles électriques.,Ben Arous,(216) - 70 279 380 / 70 279 381
ASSAD (BOUARGOUB),Accumulateurs et piles électriques.,Nabeul,(216) - 71 381 688 / 72 259 166
ASSCAB SRL,"Fils, câbles isolés et faisceaux de câbles.",Mahdia,(216) - 98 432 811
ASTEEL FLASH TUNISIE,Composants électroniques.,Ariana,(216) - 36 066 000
