name,activity,governorate,phone,linkedin_url
A.A.F COMMUNICATION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 73 399 035,https://lu.linkedin.com/company/aaf-communication
A.A.F PRODUCTION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 36 204 600,https://www.linkedin.com/company/aaf-production
ACS (GROMBALIA),"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 214 076,https://fr.linkedin.com/company/sacem-group?trk=ppro_cprof
ACST,Matériel de distribution et commande électrique.,Bizerte,(216) - 72 492 350,https://fr.linkedin.com/company/acst-association-de-conseil-en-sante-au-travail
ACTIA TUNISIE,Matériel de distribution et commande électrique - Instruments de mesure et de contrôle.,Ariana,(216) - 71 941 933,https://fr.linkedin.com/company/actia-engineering-services
ADELEC INDUSTRIE,Composants électroniques.,Ariana,(216) - 70 106 200,https://tn.linkedin.com/company/adelec-international
AEC WIRING TECHNOLOGY,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 31 303 380,https://www.linkedin.com/company/a.e.c.-srl
AFC INDUSTRIE,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 408 542,https://fr.linkedin.com/company/afc-industries
AGET,Matériel de distribution et commande électrique.,Ariana,(216) - 71 941 515 / 71 942 858,https://fr.linkedin.com/company/aget-tunisia?trk=public_profile_experience-item_profile-section-card_image-click
AGILINK SERVICES TUNIS,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 398 066,https://tn.linkedin.com/company/agilink-group?trk=public_profile_topcard-past-company
AGT,,Sfax,(216) - 98 747 530 / 74 211 340,https://fr.linkedin.com/company/agtworld?trk=public_profile_experience-item_profile-section-card_subtitle-click
AMEN,Matériel de distribution et commande électrique.,Nabeul,(216) - 98 729 546,https://fr.linkedin.com/company/amen
AMMEL II,Composants électroniques.,Sousse,(216) - 73 253 668,https://tn.linkedin.com/company/ammel2-usinage-composite
AMPHENOLTUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 393,https://fr.linkedin.com/company/amphenol-tunisia-l-l-c-
AMT,Matériel de distribution et commande électrique.,Sousse,(216) - 53 322 626,https://www.linkedin.com/company/amt-transfert/
AMTT,Composants électroniques.,Beja,(216) - 78 560 001 / 58 511 001,https://tn.linkedin.com/company/amtt-tunisie
ANT PRECISION TUNISIA,Matériels électriques pour moteurs et véhicules.,Ben Arous,(216) - 95 051 290,https://ae.linkedin.com/company/ant-precision-industry
APTIV SERVICES TUNISIA,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Beja,(216) - 31 368 500 / 31 368 658,https://fr.linkedin.com/company/sumitomo-electric-wiring-systems
AQUATEC,Instruments de mesure et de contrôle.,Ben Arous,(216) - 71 448 899,https://lu.linkedin.com/company/aquatec-inc.
ASEL,Composants électroniques.,Nabeul,(216) - 72 211 686,https://www.linkedin.com/company/aseltelecomgroup
ASEM,Composants électroniques.,Nabeul,(216) - 22 202 418,https://fr.linkedin.com/company/asem-france
ASIND,Accumulateurs et piles électriques.,Ben Arous,(216) - 70 279 380 / 70 279 381,https://www.linkedin.com/company/asindinc
ASSAD (BOUARGOUB),Accumulateurs et piles électriques.,Nabeul,(216) - 71 381 688 / 72 259 166,https://fr.linkedin.com/company/l-accumulateur-tunisien-assad?trk=ppro_cprof
ASSCAB SRL,"Fils, câbles isolés et faisceaux de câbles.",Mahdia,(216) - 98 432 811,https://fr.linkedin.com/company/facom-srl-facom?trk=similar-pages_result-card_full-click
ASTEEL FLASH TUNISIE,Composants électroniques.,Ariana,(216) - 36 066 000,https://tn.linkedin.com/company/asteelflash-tunisia
ATEMS,Composants électroniques.,Nabeul,(216) - 72 399 181 / 72 399 414,https://www.linkedin.com/company/atems
ATI ELECTRONICS,"Appareils de réception, enregistrement ou reproduction du son et de l'image.",Zaghouan,(216) - 20 491 571 / 72 675 037,https://tn.linkedin.com/company/ati-electronics-tn
ATI SMART & LIGHTING,Appareils d'éclairage.,Zaghouan,(216) - 20 491 571,https://www.linkedin.com/company/ati-electronics-tn
ATS SOLAR,Appareils ménagers non électriques - Composants électroniques.,Monastir,(216) - 73 525 891,https://fr.linkedin.com/company/ats-engineering-sales-&-services
AUTO CABLES TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 211 618,https://www.linkedin.com/company/point-s-tunisie
AUTRONIC,Composants électroniques.,Ben Arous,(216) - 70 022 500,https://fr.linkedin.com/company/autronic
AVO-CARBON TN,Composants électroniques.,Zaghouan,(216) - 58 588 801,https://lu.linkedin.com/company/avocarbon-group
AXONE,"Moteurs, génératrices et transformateurs électriques - Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 681 336 / 58 332 095,https://fr.linkedin.com/company/axone-sas
BBT LIGHTING,Appareils d'éclairage.,Tunis,(216) - 71 976 834 / 26 310 550,https://cl.linkedin.com/company/shenzhen-best-bright-technology-co-ltd
BCM (SOUSSE),Instruments de mesure et de contrôle.,Sousse,(216) - 73 244 321 / 27 712 000,https://fr.linkedin.com/company/briqueterie-du-centre-menzel-hayet?trk=ppro_cprof
BERETTA TUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 29 641 566 / 29 275 305,https://www.linkedin.com/company/beretta-tunisia
BERTELLI ET PARTNERS TUNISIE,Composants électroniques.,Ben Arous,(216) - 79 396 060,https://www.linkedin.com/company/bertelli-&-partners
BESTRANSFO,"Moteurs, génératrices et transformateurs électriques.",Zaghouan,(216) - 71 832 440 / 98 192 281,https://www.linkedin.com/company/bestransfo-sarl
BFR ELECTRIC,Matériel de distribution et commande électrique.,Monastir,(216) - 71 341 715 / 73 595 990,https://www.linkedin.com/company/bfr-groupe
BIEFFE MEDITAL MANUFACTURING,Matériel médicochirurgical et orthopédie.,Manouba,(216) - 71 629 723,https://ga.linkedin.com/company/soci%C3%A9t%C3%A9-bouzguenda-fr%C3%A8res-sbf
BIOSERVICE TUNISIE,Matériel médicochirurgical et orthopédie.,Sousse,(216) - 73 380 252,https://fr.linkedin.com/company/bioservice-tunisie
BISMA CABLE TECHNIC,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 591 888,https://bs.linkedin.com/company/cable-bahamas
BM EQUIPMENT,Appareils électroménagers.,Medenine,(216) - 70 083 738,https://fr.linkedin.com/company/bm-test-equipment
BOMACO,Réparation de matériels électriques.,Tunis,(216) - 71 854 452,https://lu.linkedin.com/company/bomaco-sarl
BSI,Appareils ménagers non électriques.,Beja,(216) - 78 440 440,https://fr.linkedin.com/company/bsi/life
BUTITEC,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 72 494 257,https://fr.linkedin.com/company/nse-anjou
C2 ETN,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 940,https://www.linkedin.com/company/c2etn
C2T IMPLANTS,Matériel médicochirurgical et orthopédie.,Sousse,(216) - 31 387 900 / 31 387 901,https://bo.linkedin.com/company/medicare-htm
CABLAGE INTERNATIONAL,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 251 971,https://fr.linkedin.com/company/international-cable-corporation
CABLE TECH,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 256 345,https://fr.linkedin.com/company/cable-tech
CABLISYS TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 342 202 / 73 342 201,https://fr.linkedin.com/company/cablisys-tunisie?trk=ppro_cprof
CABLIT LAMEC,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 29 405 940,https://it.linkedin.com/company/lamec-srl-lavorazioni-meccaniche
CABVAL PH4A,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 31 404 167,https://in.linkedin.com/company/getcabal
CARTHAGE EYEWEAR INTERNATIONAL,Lunettes.,Sfax,(216) - 29 902 991 / 58 907 990,https://jp.linkedin.com/company/comit-national-des-conseillers-du-commerce-ext-rieur-de-la-france?trk=public_profile_experience-item_profile-section-card_subtitle-click
CASCO AUTOM,Matériel de distribution et commande électrique - Matériels électriques pour moteurs et véhicules.,Bizerte,(216) - 31 352 818,https://fr.linkedin.com/company/casco-products?trk=public_profile_experience-item_profile-section-card_subtitle-click
CBL CABLAGGI,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 95 009 051 / 72 473 445,https://it.linkedin.com/company/c-b-l-s-r-l
CEIT SYSTEMS,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 71 409 199 / 55 256 546,https://fr.linkedin.com/company/ceit-development-cc
CEM TUNISIE,"Moteurs, génératrices et transformateurs électriques.",Bizerte,(216) - 72 467 401 / 72 468 055,https://tn.linkedin.com/company/cem-construction-emboutissage-m%C3%A9tallique
CET,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 72 470 755,https://fr.linkedin.com/company/cet-ingenierie
CHAKIRA CABLE,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 156 000,https://tn.linkedin.com/company/chakira-cable
CIE,Matériel de distribution et commande électrique.,Ben Arous,(216) - 71 962 900 / 71 389 635,https://fr.linkedin.com/company/sant%C3%A9-cie
CIPI ACTIA,Composants électroniques.,Ariana,(216) - 70 838 115,https://tn.linkedin.com/company/cipi-actia
CMRT,"Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Ben Arous,(216) - 71 426 978,https://www.linkedin.com/company/cmrt-development
COELEC,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 937 888,https://tn.linkedin.com/company/coelectn
COFAT KAIROUAN,"Fils, câbles isolés et faisceaux de câbles.",Kairouan,(216) - 71 166 000 / 71 156 000,https://fr.linkedin.com/company/cofat-group?trk=public_profile_experience-item_profile-section-card_image-click
COFAT MATEUR,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 71 156 000 / 72 112 000,https://www.linkedin.com/company/cofat-tunisia
COFAT(SIDI HASSINE),"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 156 000 / 71 591 000,https://fr.linkedin.com/company/cofat-group
COFEM,"Appareils électroménagers - Appareils de réception, enregistrement ou reproduction du son et de l'image.",Ben Arous,(216) - 79 408 764 / 79 408 788,https://www.linkedin.com/company/cofemsocialchange
COFICAB MED,"Fils, câbles isolés et faisceaux de câbles.",Beja,(216) - 71 156 000 / 78 109 500,https://tn.linkedin.com/company/coficab-group
COFICAB TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 156 000 / 71 156 118,https://tn.linkedin.com/company/coficab-tunisia
COFITEL,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Ben Arous,(216) - 71 428 593,https://fr.linkedin.com/company/cofitel
CONDOR INDUSTRY TUNISIE,Appareils électroménagers - Composants électroniques.,Beja,(216) - 71 409 721,https://gh.linkedin.com/company/condorelectronicstunisie
CONECTA,Matériel de distribution et commande électrique.,Nabeul,(216) - 72 290 149,https://fr.linkedin.com/company/conecta-inform%C3%A1tica
CONNECT,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Ariana,(216) - 98 221 770 / 71 864 327,https://fr.linkedin.com/company/sncfconnecttech
CONTACT,Matériel de distribution et commande électrique.,Nabeul,(216) - 58 495 970,https://fr.linkedin.com/company/contact.app
COTHERM,Instruments de mesure et de contrôle.,Ben Arous,(216) - 71 454 709 / 71 453 410,https://fr.linkedin.com/company/cotherm
CYLALIDE TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 39 156 840,https://fr.linkedin.com/company/groupe-inovelec
DACKT INDUSTRY,,Zaghouan,(216) - 93 133 146,https://in.linkedin.com/company/cooldeck-industries-private-limited
DAV TUNISIE,Matériel de distribution et commande électrique.,Ben Arous,(216) - 31 364 100 / 31 364 101,https://fr.linkedin.com/company/southcomp-polaris
DELFINGEN TN FOUCHANA,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 408 435 / 79 408 359,https://tn.linkedin.com/company/leman-industrie-connectique-tunisie
DTC,Composants électroniques.,Ben Arous,(216) - 71 409 122 / 71 409 123,https://fr.linkedin.com/company/dtc-paris
E.C.T.,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 98 257 153 / 73 414 444,https://fr.linkedin.com/company/groupe-ect
ecs,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 73 252 576 / 96 011 768,https://www.linkedin.com/company/ecs-ecoute-conseil-service/
EKM (BEN AROUS),Appareils d'éclairage.,Ben Arous,(216) - 71 384 737,https://tn.linkedin.com/company/ekm-signs-print
EL ATHIR,Composants électroniques.,Tunis,(216) - 71 904 133,https://www.linkedin.com/company/alathir
EL COM TUNISIA,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 71 941 882 / 94 264 030,https://tn.linkedin.com/company/el.com?trk=public_profile_experience-item_profile-section-card_image-click
ELEBAS,"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 261 735,https://et.linkedin.com/company/ethiopian-labor-market-information-system
ELECTRIC SYSTEMS PRODUCTION & ENGINEERING,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 56 626 160,https://sa.linkedin.com/company/electrical-engineering-systems
ELECTRO CONTACT TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Monastir,(216) - 70 258 100,https://www.linkedin.com/company/nexans-autoelectrictn
ELECTRO CONTACT TUNISIE (BEMBLA),"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 70 258 140 / 98 773 728,https://tn.linkedin.com/company/electrorebuildtunisie
ELECTROMED,Appareils électroménagers - Appareils ménagers non électriques - Equipements d'émission et de transmission hertzienne.,Ben Arous,(216) - 71 388 288,https://lu.linkedin.com/company/electromed-corporation
ELEONETECH,Composants électroniques.,Bizerte,(216) - 70 102 400 / 29 910 670,https://fr.linkedin.com/company/groupe-onetech?trk=ppro_cprof
ELETTRO B.C.A,Composants électroniques.,Zaghouan,(216) - 22 935 734,https://it.linkedin.com/company/elettro-bg
ELMAP,Composants électroniques.,Tunis,,https://www.linkedin.com/company/elmap-tunisie
ELMEC,Instruments de mesure et de contrôle.,Sousse,(216) - 22 501 001 / 73 810 160,https://cz.linkedin.com/company/elmec-evduty
EMECC INDUSTRIES,,Monastir,(216) - 98 386 868,https://www.linkedin.com/company/emecc-industries
EMKA MED,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles - Composants électroniques.",Monastir,(216) - 73 519 670,https://tn.linkedin.com/company/emka-med-electronique
EMS,Composants électroniques.,Manouba,(216) - 70 161 396,https://fr.linkedin.com/company/ems-group
EMT (BENI KHALLED),"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 94 233 700 / 72 372 906,https://bh.linkedin.com/company/emt-distribution-mea
ENAS,Accumulateurs et piles électriques.,Ben Arous,(216) - 70 279 381 / 70 279 380,https://de.linkedin.com/company/fraunhofer-enas
ENEDO,Composants électroniques.,Tunis,(216) - 29 935 999 / 26 601 193,https://www.linkedin.com/company/enedo
ENOVE,Accumulateurs et piles électriques.,Zaghouan,(216) - 71 207 100 / 72 675 988,https://www.linkedin.com/company/enovestudio
EPITRONIC TUNISIE,"Fils, câbles isolés et faisceaux de câbles.",Ariana,(216) - 70 838 201 / 70 838 230,https://www.linkedin.com/company/epitronic-tunisie
ERA-CONTACT TUNISIA,"Matériel de distribution et commande électrique - Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 72 451 010,https://tn.linkedin.com/company/era-contact-gmbh?trk=public_profile_experience-item_result-card_subtitle-click
ERT,Matériels électriques pour moteurs et véhicules.,Monastir,(216) - 29 464 100 / 73 414 414,https://fr.linkedin.com/company/ert-technologies-sas
ESSILOR - SIVO,Lunettes.,Sfax,(216) - 74 151 400,https://www.linkedin.com/company/laboratoires-sivo
