name,activity,governorate,phone,linkedin_url,website,description,size,sector,headquarters,type,founded,error
A.A.F COMMUNICATION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 73 399 035,https://fr.linkedin.com/company/aaf-communication,http://www.aaf.tn,"Tunisian registered company, with over 20 years of experience, specializing in receiving and distributing technology equipment including antennae, electronic communication, cables.",11-50 employés,Télécommunications,"Messadine, Sousse",Société civile/Société commerciale/Autres types de sociétés,,
A.A.F PRODUCTION,"Fils, câbles isolés et faisceaux de câbles.",Sousse,(216) - 36 204 600 / 36 204 600,https://fr.linkedin.com/company/aaf-production,http://www.aaf.tn,Tunisian registered company specializing in the cable assembly for the automotive industry. With over 20 years of experience we deliver high quality products that automotive manufacturers all over the world are relying on for their RF communication (automotive antennas).,201-500 employés,Industrie automobile,"Messadine, Sousse",Société civile/Société commerciale/Autres types de sociétés,,
ACS (GROMBALIA),"Fils, câbles isolés et faisceaux de câbles.",Nabeul,(216) - 72 214 076,https://fr.linkedin.com/company/sacem-group?trk=ppro_cprof,http://www.sacemgroup.com,"SACEM Group is a global hardware, software product and solutions company that provides Quality Assurance end-to-end product design, development and deployment for Electrical distribution industries. With more than 50 years of expertise and services in electricity, SACEM Group is considered as a pioneer in manufacturing and sale of wide range Electrical distribution transformers, after-sales maintenance and repairs in Africa and Middle-East. SACEM Group provide superior Smart Grid solutions and best-in-class information and communications technologies to Utilities with a diverse set of products in Distribution Automation, Advanced Metering Infrastructure, and Renewable Energy markets with technology partners TRILLIANT Inc. and ACS Power Inc. SACEM GROUP solutions improve the efficiency and operation of all of the critical points along the electricity delivery system.",201-500 employés,"Fabrication d’appareils électroménagers, électriques et électroniques","Berges du Lac, Tunis",Société indépendante,1966,
ACST,Matériel de distribution et commande électrique.,Bizerte,(216) - 72 492 350,https://fr.linkedin.com/company/acst-association-de-conseil-en-sante-au-travail,http://www.acst-strasbourg.com,"ACST est un Service de Prévention et de Santé au Travail ayant une compétence territoriale sur l'ensemble de l’Eurométropole Strasbourgeoise. Crée en 1953, elle est actuellement présidée par Michel CHALOT, et dirigée par Manuel TAVARES. L'Association compte un effectif de 54 personnes, dont 24 médecins du travail, et exerce une mission de prévention qui vise à éviter toute altération de la santé des travailleurs du fait de leur travail. Pour parvenir à cet objectif ambitieux, nos missions s’articulent autour des axes suivants : - conduite d’actions de santé au travail, dans le but de préserver la santé physique et mentale des travailleurs tout au long de leur parcours professionnel, - conseil aux employeurs, aux salariés et à leurs représentants sur les dispositions et mesures nécessaires pour éviter ou réduire les risques professionnels, améliorer les conditions de travail, prévenir la consommation d’alcool et de drogue sur le lieu de travail, prévenir le harcèlement sexuel ou moral, prévenir ou réduire la pénibilité au travail et la désinsertion professionnelle, contribuer au maintien dans l’emploi des travailleurs, - surveillance de l’état de santé des travailleurs en fonction des risques concernant leur sécurité et leur santé au travail, de la pénibilité au travail et de leur âge, - participation au suivi et à la traçabilité des expositions professionnelles, ainsi qu’à la veille sanitaire.",51-200 employés,Services de bien-être et installations sportives,"Illkirch-Graffenstaden, Grand Est",Non lucratif,1953,
ACTIA TUNISIE,Matériel de distribution et commande électrique - Instruments de mesure et de contrôle.,Ariana,(216) - 71 941 933,https://fr.linkedin.com/company/actia-engineering-services,https://lab-engineering.actia.tn/actia-engineering-services/,"La Division ENGINEERING SERVICES du Groupe français ACTIA est spécialisée dans la conception et le développement de solutions matérielles embarquées et de services logiciels pour les secteurs de la mobilité et de l’industrie. L’expertise software et hardware de plus de 900 ingénieurs, sur 4 sites du pourtour méditerranéen – Tunis, Sfax, Toulouse, Rennes, Le Caire – est la garantie d’un développement de produits et de services avec une qualité logiciel et technologique de pointe. Nous sommes d’ailleurs certifiés ISO9001, ISO17025, ISO27001. L’intégration d’ACTIA Engineering Services dans différents écosystèmes de partenaires technologiques et académiques, l’hébergement d’un incubateur de start-ups (ACTinCube) et la mise en œuvre d’un centre de formation intégré (ACTIA Académie) contribuent aussi à positionner cette division à la pointe dans ses différents domaines d’activité. La maitrise des briques technologiques pour bâtir des solutions innovantes : - Conseil et accompagnement dans la phase de spécification - Design électronique, conception mécanique et prototypage - Ingénierie système - Ingénierie logicielle et numérique - Applications connectées - Infrastructures Cloud - Tests, validation et certification au sein d’un laboratoire intégré - Outillage de tests et de production",501-1 000 employés,Développement de logiciels,"Ariana, Ariana",Société indépendante,2005,
ADELEC INDUSTRIE,Composants électroniques.,Ariana,(216) - 70 106 200,https://fr.linkedin.com/company/adelec-international,http://www.adelec-inter.com/,"ADELEC - Equipements et Consommables pour l'Industrie Electronique Créée en 2001, ADELEC INTER est leader dans la distribution d'équipements et de consommables pour l'industrie électronique en Afrique du Nord (Tunisie, Algérie, Maroc). Grâce à un partenariat solide avec des groupes de renommée internationale, ADELEC Inter assure à ses clients industriels une solution globale et un service professionnel. Pour respecter nos engagements, nous avons mis en œuvre une structure solide fondée sur : Une équipe Technico - Commerciale compétente et expérimentée à l’écoute des clients Une équipe technique & SAV expérimentée et reconnue par nos clients et nos partenaires Une logistique en off shore fortement maitrisée: 80% des commandes sont livrées sous 24heures Un stock disponible de plus de 4000 références répondant aux exigences de nos clients(consommables, équipements, pièces de rechange, etc....) Une conformité au code d'éthique de la profession En plus, ADELEC Inter organise régulièrement des séminaires et des sessions de formation afin de participer à la veille technologique dans le secteur de l’industrie électronique en Afrique du Nord. Depuis 2009, notre filiale Alpha Electronic assure un service de proximité de haut niveau à nos partenaires industriels marocains. ADELEC Inter continuera à lever tous les défis afin de participer à l’essor de l’industrie électronique dans notre région.",51-200 employés,Fabrication de machines pour le commerce et les industries de services,Ariana,Société civile/Société commerciale/Autres types de sociétés,2001,
AEC WIRING TECHNOLOGY,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 31 303 380,https://fr.linkedin.com/company/a.e.c.-srl,http://www.aecsrl.it/,"Engineering and manufacturing of automotive components as aluminum battery cable assemblies, EV Busbars, ground terminals, corrugated tubes connections for windshield and rear window washer lines, AM/FM and satellite radio, GPS, GSM Antenna Cables. USB DATA Cables and Connectivity Ports. Supplier of Automotive OEMs and most important electrical-electronic distribution system's Tier1 suppliers",201-500 employés,Fabrication de véhicules automobiles,"Torino, To",Société civile/Société commerciale/Autres types de sociétés,1986,
AFC INDUSTRIE,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 408 542,https://fr.linkedin.com/company/afc-industries,http://afcind.com,"AFC Industries is a dynamic organization dedicated to providing supply chain management solutions for fasteners and assembly components to original equipment manufacturers, assembly plants, and other users of these products. Our supply solutions include Vendor Managed Inventory, Stock and Release programs, Light Assembly, Kitting, and Private Labeling services amongst others. We support a diverse industry base of manufacturers across a broad range of industries. Our experienced team has a proven track record of helping manufacturers and assemblers reduce cost, improve quality, and increase efficiency.",501-1 000 employés,"Transport, logistique, chaîne logistique et stockage","West Chester, Ohio",Société civile/Société commerciale/Autres types de sociétés,,
AGET,Matériel de distribution et commande électrique.,Ariana,(216) - 71 941 515 / 71 942 858,https://fr.linkedin.com/company/aget-tunisia?trk=public_profile_experience-item_profile-section-card_image-click,,,,,,,,"Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: chrome=148.0.7778.179); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff6f44e7de5+14895]
	chromedriver!GetHandleVerifier [0x7ff6f44e7e50+14900]
	chromedriver!(No symbol) [0x7ff6f424d5ad]
	chromedriver!(No symbol) [0x7ff6f4238a92]
	chromedriver!(No symbol) [0x7ff6f425ee6c]
	chromedriver!(No symbol) [0x7ff6f42d71b0]
	chromedriver!(No symbol) [0x7ff6f42f4172]
	chromedriver!(No symbol) [0x7ff6f4299df8]
	chromedriver!(No symbol) [0x7ff6f429ace3]
	chromedriver!GetHandleVerifier [0x7ff6f47fcc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff6f47f7375+323e25]
	chromedriver!GetHandleVerifier [0x7ff6f481bc82+348732]
	chromedriver!GetHandleVerifier [0x7ff6f4506045+32af5]
	chromedriver!GetHandleVerifier [0x7ff6f450ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff6f44f1bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff6f44f1d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff6f44d60e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ffb33a4e8d7+17]
	ntdll!RtlUserThreadStart [0x7ffb3462c53c+2c]
"
AGILINK SERVICES TUNIS,"Fils, câbles isolés et faisceaux de câbles.",Ben Arous,(216) - 79 398 066,https://fr.linkedin.com/company/agilink-group?trk=public_profile_topcard-past-company,https://www.agilink-group.com/,"Notre métier est centré sur le travail des câbles, de leurs assemblages et de l’optimisation de leurs performances techniques et économiques. Sur la base des spécifications de nos clients, nous réalisons la conception, le prototypage, les essais et la production de nouveaux câbles, cordons, harnais ou systèmes de câblage.",51-200 employés,"Fabrication d’appareils électroménagers, électriques et électroniques","Bois-Colombes, Île-de-France",Société civile/Société commerciale/Autres types de sociétés,,
